,iModulon,Gene
576,EPS_secretion_system,SGL_RS15265
577,EPS_secretion_system,SGL_RS15320
578,EPS_secretion_system,SGL_RS15325
579,EPS_secretion_system,SGL_RS20170
580,EPS_secretion_system,SGL_RS15510
581,EPS_secretion_system,SGL_RS15530
582,EPS_secretion_system,SGL_RS15545
583,EPS_secretion_system,SGL_RS15765
584,EPS_secretion_system,SGL_RS15840
585,EPS_secretion_system,SGL_RS16045
586,EPS_secretion_system,SGL_RS16060
587,EPS_secretion_system,SGL_RS16085
588,EPS_secretion_system,SGL_RS16105
589,EPS_secretion_system,SGL_RS16170
590,EPS_secretion_system,SGL_RS16220
591,EPS_secretion_system,SGL_RS16230
592,EPS_secretion_system,SGL_RS16375
593,EPS_secretion_system,SGL_RS16470
594,EPS_secretion_system,SGL_RS16475
595,EPS_secretion_system,SGL_RS16480
596,EPS_secretion_system,SGL_RS16545
597,EPS_secretion_system,SGL_RS16585
598,EPS_secretion_system,SGL_RS16650
599,EPS_secretion_system,SGL_RS16655
600,EPS_secretion_system,SGL_RS16820
601,EPS_secretion_system,SGL_RS16860
602,EPS_secretion_system,SGL_RS16865
603,EPS_secretion_system,SGL_RS20195
604,EPS_secretion_system,SGL_RS16925
605,EPS_secretion_system,SGL_RS16930
606,EPS_secretion_system,SGL_RS16935
607,EPS_secretion_system,SGL_RS16940
608,EPS_secretion_system,SGL_RS16945
609,EPS_secretion_system,SGL_RS16985
610,EPS_secretion_system,SGL_RS17050
611,EPS_secretion_system,SGL_RS17110
612,EPS_secretion_system,SGL_RS17140
613,EPS_secretion_system,SGL_RS17155
614,EPS_secretion_system,SGL_RS17170
615,EPS_secretion_system,SGL_RS17235
616,EPS_secretion_system,SGL_RS17240
617,EPS_secretion_system,SGL_RS17475
618,EPS_secretion_system,SGL_RS17510
619,EPS_secretion_system,SGL_RS17550
620,EPS_secretion_system,SGL_RS17580
621,EPS_secretion_system,SGL_RS17685
622,EPS_secretion_system,SGL_RS17695
623,EPS_secretion_system,SGL_RS17730
624,EPS_secretion_system,SGL_RS17810
625,EPS_secretion_system,SGL_RS17825
626,EPS_secretion_system,SGL_RS17845
627,EPS_secretion_system,SGL_RS20200
628,EPS_secretion_system,SGL_RS17900
629,EPS_secretion_system,SGL_RS17925
630,EPS_secretion_system,SGL_RS17930
631,EPS_secretion_system,SGL_RS17950
632,EPS_secretion_system,SGL_RS18100
633,EPS_secretion_system,SGL_RS18385
634,EPS_secretion_system,SGL_RS01375
635,EPS_secretion_system,SGL_RS01530
636,EPS_secretion_system,SGL_RS01550
637,EPS_secretion_system,SGL_RS01555
638,EPS_secretion_system,SGL_RS01565
639,EPS_secretion_system,SGL_RS01570
640,EPS_secretion_system,SGL_RS01575
641,EPS_secretion_system,SGL_RS01695
642,EPS_secretion_system,SGL_RS01765
643,EPS_secretion_system,SGL_RS01795
644,EPS_secretion_system,SGL_RS01800
645,EPS_secretion_system,SGL_RS00115
646,EPS_secretion_system,SGL_RS19675
647,EPS_secretion_system,SGL_RS00240
648,EPS_secretion_system,SGL_RS00245
649,EPS_secretion_system,SGL_RS00250
650,EPS_secretion_system,SGL_RS00295
651,EPS_secretion_system,SGL_RS00300
652,EPS_secretion_system,SGL_RS19365
653,EPS_secretion_system,SGL_RS18510
654,EPS_secretion_system,SGL_RS00510
655,EPS_secretion_system,SGL_RS00605
656,EPS_secretion_system,SGL_RS01145
657,EPS_secretion_system,SGL_RS01280
658,EPS_secretion_system,SGL_RS00725
659,EPS_secretion_system,SGL_RS00730
660,EPS_secretion_system,SGL_RS01020
661,EPS_secretion_system,SGL_RS01025
662,EPS_secretion_system,SGL_RS01055
663,EPS_secretion_system,SGL_RS01060
664,IsiA_related,SGL_RS08955
665,IsiA_related,SGL_RS08960
666,IsiA_related,SGL_RS19340
667,IsiA_related,SGL_RS08965
668,Transposase_related,SGL_RS18635
669,Transposase_related,SGL_RS18640
670,Transposase_related,SGL_RS18645
671,Transposase_related,SGL_RS19745
672,Transposase_related,SGL_RS02500
673,Transposase_related,SGL_RS02715
674,Transposase_related,SGL_RS03270
675,Transposase_related,SGL_RS18680
676,Transposase_related,SGL_RS19780
677,Transposase_related,SGL_RS20210
678,Transposase_related,SGL_RS20215
679,Transposase_related,SGL_RS06465
680,Transposase_related,SGL_RS06960
681,Transposase_related,SGL_RS07025
682,Transposase_related,SGL_RS19815
683,Transposase_related,SGL_RS08075
684,Transposase_related,SGL_RS18780
685,Transposase_related,SGL_RS18830
686,Transposase_related,SGL_RS19860
687,Transposase_related,SGL_RS09140
688,Transposase_related,SGL_RS09240
689,Transposase_related,SGL_RS09245
690,Transposase_related,SGL_RS18850
691,Transposase_related,SGL_RS18855
692,Transposase_related,SGL_RS18875
693,Transposase_related,SGL_RS19880
694,Transposase_related,SGL_RS18885
695,Transposase_related,SGL_RS18905
696,Transposase_related,SGL_RS19895
697,Transposase_related,SGL_RS19905
698,Transposase_related,SGL_RS11180
699,Transposase_related,SGL_RS11455
700,Transposase_related,SGL_RS11640
701,Transposase_related,SGL_RS20150
702,Transposase_related,SGL_RS11935
703,Transposase_related,SGL_RS12685
704,Transposase_related,SGL_RS13225
705,Transposase_related,SGL_RS13405
706,Transposase_related,SGL_RS19015
707,Transposase_related,SGL_RS19975
708,Transposase_related,SGL_RS19255
709,Transposase_related,SGL_RS13845
710,Transposase_related,SGL_RS14205
711,Transposase_related,SGL_RS19475
712,Transposase_related,SGL_RS14345
713,Transposase_related,SGL_RS15715
714,Transposase_related,SGL_RS20015
715,Transposase_related,SGL_RS16080
716,Transposase_related,SGL_RS19355
717,Transposase_related,SGL_RS17175
718,Transposase_related,SGL_RS17375
719,Transposase_related,SGL_RS19130
720,Transposase_related,SGL_RS19500
721,Transposase_related,SGL_RS19145
722,Transposase_related,SGL_RS19505
723,Transposase_related,SGL_RS01470
724,Transposase_related,SGL_RS01725
725,Transposase_related,SGL_RS01740
726,Transposase_related,SGL_RS00090
727,Transposase_related,SGL_RS00100
728,Transposase_related,SGL_RS00105
729,Transposase_related,SGL_RS00135
730,Transposase_related,SGL_RS18490
731,Transposase_related,SGL_RS19685
732,Transposase_related,SGL_RS00520
733,Transposase_related,SGL_RS18570
734,Transposase_related,SGL_RS00730
735,Transposase_related,SGL_RS00855
736,Transposase_related,SGL_RS00880
737,Transposase_related,SGL_RS00955
738,Transposase_related,SGL_RS00960
739,Transposase_related,SGL_RS01115
740,High_affinity_CO2_uptake,SGL_RS02635
741,High_affinity_CO2_uptake,SGL_RS02640
742,High_affinity_CO2_uptake,SGL_RS02645
743,High_affinity_CO2_uptake,SGL_RS19555
744,High_affinity_CO2_uptake,SGL_RS04000
745,High_affinity_CO2_uptake,SGL_RS05350
746,High_affinity_CO2_uptake,SGL_RS05355
747,High_affinity_CO2_uptake,SGL_RS05360
748,High_affinity_CO2_uptake,SGL_RS05370
749,High_affinity_CO2_uptake,SGL_RS06280
750,High_affinity_CO2_uptake,SGL_RS06285
751,High_affinity_CO2_uptake,SGL_RS06290
752,High_affinity_CO2_uptake,SGL_RS06295
753,High_affinity_CO2_uptake,SGL_RS08845
754,High_affinity_CO2_uptake,SGL_RS18840
755,High_affinity_CO2_uptake,SGL_RS09335
756,High_affinity_CO2_uptake,SGL_RS09340
757,High_affinity_CO2_uptake,SGL_RS16565
758,Iron_uptake,SGL_RS01930
759,Iron_uptake,SGL_RS01935
760,Iron_uptake,SGL_RS01940
761,Iron_uptake,SGL_RS01945
762,Iron_uptake,SGL_RS01955
763,Iron_uptake,SGL_RS01975
764,Iron_uptake,SGL_RS01980
765,Iron_uptake,SGL_RS01985
766,Iron_uptake,SGL_RS01990
767,Iron_uptake,SGL_RS01995
768,Iron_uptake,SGL_RS02000
769,Iron_uptake,SGL_RS02005
770,Iron_uptake,SGL_RS02010
771,Iron_uptake,SGL_RS02015
772,Iron_uptake,SGL_RS02020
773,Iron_uptake,SGL_RS03245
774,Iron_uptake,SGL_RS05120
775,Iron_uptake,SGL_RS05125
776,Iron_uptake,SGL_RS05875
777,Iron_uptake,SGL_RS06085
778,Iron_uptake,SGL_RS06090
779,Iron_uptake,SGL_RS06755
780,Iron_uptake,SGL_RS08075
781,Iron_uptake,SGL_RS19340
782,Iron_uptake,SGL_RS08965
783,Iron_uptake,SGL_RS19200
784,Iron_uptake,SGL_RS10355
785,Iron_uptake,SGL_RS12315
786,Iron_uptake,SGL_RS12320
787,Iron_uptake,SGL_RS13450
788,Iron_uptake,SGL_RS15495
789,Iron_uptake,SGL_RS17810
790,Iron_uptake,SGL_RS17815
